Name,Price,Author,Date,Publisher,Comment,sales
社会机器学习,117.7,黄金才,3/1/2020,科学出版社,4,48779
地球科学大数据挖掘与机器学习,42.3,周永章,9/30/2018,中山大学出版社,82,212895
Python+TensorFlow机器学习实战 ,54.5,李鸥,5/30/2019,清华大学出版社,339,207759
基于机器学习的物体自动理解技术,77.4,刘贞报,4/1/2018,科学出版社,34,244993
生物信息学中的机器学习分析方法,54.5,王雪松,6/1/2020,科学出版社,46,153338
Python机器学习 ,39.3,达西·哈龙,9/5/2018,清华大学出版社,269,58603
模式识别与机器学习技术,36.3,,,冶金工业出版社,7,43099
机器学习入门到实战——MATLAB ,,,,,,174747
套路！机器学习：北美数据科学家的私房课 ,53.7,林荟,10/1/2017,电子工业出版社,218,257347
机器学习,,,,,,133575
Spark机器学习：核心技术与实践 ,54.5,亚历克斯·特列斯,6/5/2018,机械工业出版社,196,206494
Python机器学习实践：测试驱动的开发方法,46.6,马修·柯克,11/20/2017,机械工业出版社,229,95439
深度实践Spark机器学习 ,54.5,吴茂贵,3/5/2018,机械工业出版社,273,44132
智能商业：人工智能、机器学习与大数据技术的制胜之道（原书第3版） ,38.7,史蒂文·芬利,6/15/2019,机械工业出版社,128,164541
Python聊天机器人开发：基于自然语言处理与机器学习 ,51.8,Sumit,5/1/2020,电子工业出版社,64,20406
金融科技：人工智能与机器学习卷 ,42.2,刘斌,9/17/2019,机械工业出版社,137,284432
TensorFlow机器学习项目开发实战 ,61.4,安奇特·简恩,9/1/2019,清华大学出版社,67,201303
【按需印刷】-机器学习因子分解机模型与推荐系统 ,58,,,科学出版社,0,269786
实用机器学习 ,62.4,苏尼拉·格拉普蒂,5/30/2018,机械工业出版社,28,234047
R语言机器学习 ,78.2,卡西克·拉玛苏布兰马尼安,6/13/2018,机械工业出版社,86,30352
SAP企业机器学习——赋能业务创新,70.3,邬学宁,6/16/2018,清华大学出版社,96,17331
机器学习精讲,,,,,,37718
Python机器学习,53.5,赵涓涓,7/15/2019,机械工业出版社,57,166916
TensorFlow ,56.5,全华,9/1/2018,东南大学出版社,18,17231
构建实时机器学习系统 ,44.2,彭河森,8/25/2017,机械工业出版社,88,276712
Python大规模机器学习 ,70.3,巴斯蒂安·贾丁,5/6/2019,机械工业出版社,91,95313
Python高级机器学习 ,46.6,约翰·哈蒂,1/1/2020,人民邮电出版社,26,168366
Python机器学习入门（影印版）,70.3,安德烈亚斯·穆勒,1/1/2017,东南大学出版社,185,188481
大数据时代的算法：机器学习、人工智能及其典型实例 ,38.7,刘凡平,1/1/2017,电子工业出版社,1215,252190
学习记忆与机器学习实验原理 ,32,施静,8/15/2019,华中科技大学出版社,5,97509
大数据挖掘与统计机器学习（第2版）（大数据分析统计应用丛书）,32.5,吕晓玲,1/4/2019,中国人民大学出版社,92,166329
基于H2O的机器学习实用方法：一种强大的可扩展的人工智能和深度学习技术,54.5,达伦.库克,7/4/2018,机械工业出版社,35,155056
机器学习——Python实践,,,,,,106144
Python与机器学习,37.4,陈清华,3/1/2020,电子工业出版社,7,234291
机器学习算法原理与编程实践,,,,,,117576
Python机器学习算法 ,54.5,赵志勇,6/1/2017,电子工业出版社,945,36195
Python机器学习 ,75.2,Sebastian,10/1/2018,东南大学出版社,76,270063
机器学习之路——Caffe、Keras、scikit-learn实战,,,,,,284182
OpenCV机器学习（影印版）,66.1,Michael,5/1/2019,东南大学出版社,13,267470
白话机器学习算法,,,,,,245155
零起点Python机器学习快速入门,46.6,何海群,4/1/2017,电子工业出版社,462,31622
机器学习技术与实战：医学大数据深度应用,,,,,,183926
数据挖掘与机器学习——WEKA应用技术与实践,41.7,袁梅宇,7/1/2014,清华大学出版社,517,158719
机器学习与优化,,,,,,285866
Python机器学习（影印版）,60,塞巴斯蒂安·拉什卡,5/1/2017,东南大学出版社,101,17476
机器学习从入门到入职——用sklearn与keras搭建人工智能模型,,,,,,139068
对抗机器学习：机器学习系统中的攻击和防御,,,,,,109108
Python大战机器学习：数据科学家的第一个小目标 ,54.5,华校专,2/1/2017,电子工业出版社,2303,11521
机器学习实战：基于Scikit-Learn和TensorFlow,,,,,,42401
Python数据科学与机器学习 ,54.5,弗兰克·凯恩,6/1/2019,人民邮电出版社,97,71664
机器学习实践指南——基于R语言,,,,,,211825
Python机器学习经典实例（影印版）,65.5,克里斯·阿尔本,11/1/2018,东南大学出版社,41,16565
机器学习算法(原书第2版),,,,,,72181
Python机器学习 ,62.4,塞巴斯蒂安·拉施卡,3/14/2017,机械工业出版社,1328,231751
机器学习与大数据技术,,,,,,244538
机器学习在线：解析阿里云机器学习平台,,,,,,150317
Python机器学习实战,50.9,裔隽,3/1/2018,科学技术文献出版社,45,265893
Azure ,43.4,Jeff,11/1/2018,人民邮电出版社,56,34538
